no;dapil;partai;nama;jk;lokasi
0;aceh-besar;PA;SAIFUDDIN YAHYA, SE;Laki-Laki;ACEH BESAR
1;aceh-besar;PA;HANAFIAH;Laki-Laki;ACEH BESAR
2;aceh-besar;PA;NURLAILI, SE;Perempuan;KOTA BANDA ACEH
3;aceh-besar;PA;IR. HASANUDDIN, M. Si;Laki-Laki;KOTA BANDA ACEH
4;aceh-besar;PA;SAFWAN;Laki-Laki;KOTA SABANG
5;aceh-besar;PA;SYARIFAH NURJANNAH, S.Pd.I;Perempuan;KOTA BANDA ACEH
6;aceh-besar;PA;AKHYAR;Laki-Laki;KOTA BANDA ACEH
7;aceh-besar;PA;WAHIDIN;Laki-Laki;ACEH BESAR
8;aceh-besar;PA;MAHDALENA, S.K.M;Perempuan;KOTA BANDA ACEH
9;aceh-besar;PA;SAIFUDDIN;Laki-Laki;ACEH BESAR
10;aceh-besar;PA;DELIMA PUSPA SARI;Perempuan;KOTA BANDA ACEH
12;aceh-besar;PAN;TEZAR AZWAR;Laki-Laki;KOTA BANDA ACEH
38;aceh-besar;PDA;H. AZHAR, MJ ROMENT;Laki-Laki;KOTA BANDA ACEH
41;aceh-besar;PDA;SOFYAN SURI;Laki-Laki;ACEH BESAR
42;aceh-besar;PDA;EDDI SHADIQIN;Laki-Laki;ACEH BESAR
43;aceh-besar;PDA;NURBAHRI;Perempuan;ACEH BESAR
45;aceh-besar;PDA;DRS. ZAKIUN FUADI;Laki-Laki;ACEH BESAR
46;aceh-besar;PDA;ARIANA BETI ARTI, S.H.I;Perempuan;KOTA BANDA ACEH
47;aceh-besar;PDA;SYARBINI;Laki-Laki;ACEH BESAR
48;aceh-besar;PDA;IRAHMANINA;Perempuan;ACEH BESAR
49;aceh-besar;PDIP;Drs. T. SULAIMAN BADAI;Laki-Laki;KOTA BANDA ACEH
50;aceh-besar;PDIP;TGK. H. ISHAK YUSUF;Laki-Laki;ACEH TIMUR
51;aceh-besar;PDIP;CUT DINI IRMA SARI;Perempuan;ACEH BESAR
52;aceh-besar;PDIP;FAUZAN;Laki-Laki;KOTA BANDA ACEH
53;aceh-besar;PDIP;HELMI NUGRAHA HAKIM;Laki-Laki;KOTA BANDA ACEH
54;aceh-besar;PDIP;KARTINI;Perempuan;ACEH BESAR
55;aceh-besar;PDIP;HERI LUKMANSYAH;Laki-Laki;KOTA BANDA ACEH
56;aceh-besar;PDIP;FAKHRIAL, ST;Laki-Laki;ACEH BESAR
57;aceh-besar;PDIP;NINIK KARLINA, S. Ag;Perempuan;ACEH BESAR
