dapil,partai,agama
bandung-barat,PARTAI AMANAT NASIONAL,Islam
rote-ndao,PARTAI KEADILAN SEJAHTERA,Kristen Protestan
serdang-bedagai,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
sumba-barat-daya,PARTAI PERSATUAN PEMBANGUNAN,Katolik
sumba-timur,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-8,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-7,PARTAI GOLONGAN KARYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-7,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-6,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-11,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI DEMOKRAT,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-4,PARTAI GERAKAN INDONESIA RAYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-3,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-10,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-5,PERSATUAN INDONESIA,Islam
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
indramayu,PARTAI SOLIDARITAS INDONESIA,-
sikka,PARTAI GERAKAN INDONESIA RAYA,Islam
sumedang,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-10,PARTAI NANGGROE ACEH,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-8,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-5,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-4,PARTAI AMANAT NASIONAL,-
aceh-utara,PARTAI SIRA,Islam
manggarai,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
manggarai-barat,PARTAI PERSATUAN PEMBANGUNAN,Islam
sabu-raijua,PARTAI BERKARYA,Islam
sikka,PARTAI GERAKAN INDONESIA RAYA,Katolik
sumba-barat,PARTAI KEADILAN SEJAHTERA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-5,PARTAI KEADILAN SEJAHTERA,Islam
kota-depok,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-13,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-6,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-5,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-6,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-4,PARTAI KEBANGKITAN BANGSA,-
cirebon,PARTAI PERSATUAN PEMBANGUNAN,Islam
kota-bogor,PARTAI GOLONGAN KARYA,Islam
kota-kupang,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
manggarai-timur,PARTAI DEMOKRAT,Islam
manggarai-timur,PARTAI KEADILAN SEJAHTERA,Islam
sikka,PARTAI DEMOKRAT,Islam
sumba-tengah,PARTAI DEMOKRAT,Katolik
wajo,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-6,PERSATUAN INDONESIA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-3,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-14,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-14,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-11,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI GERAKAN INDONESIA RAYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-10,PARTAI BERKARYA,Islam
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,-
bener-meriah,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
cianjur,PARTAI SOLIDARITAS INDONESIA,-
pidie-jaya,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
rote-ndao,PARTAI AMANAT NASIONAL,-
serdang-bedagai,PARTAI AMANAT NASIONAL,-
sumba-tengah,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-1,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI GOLONGAN KARYA,-
