nama_caleg,pasangan
"MUCHLIS ZULKIFLI, ST",ERNAWATI
TEZAR AZWAR,"MUHAMMADATI, SH"
"HJ. ISMANIAR, SE","HASRULSYAH, SE"
H. ZULKIFLI ABDY,Hj. EVA KURNIAWATY
H. ZULKIFLI H. ADAM,Hj. MULYANASARI
"DEWI MARLINA, A.Ma",ZAHARI
"DEDI SUMARDI NURDIN, SKM",NANDA ERLIZA
"NAZARUDDIN IBRAHIM, SE",CUT AUZULISNA
"NINING SAGITA NOVA, S.Pd",HENDRA
"IRA HUSNA, A.Md. Keb",LOVI MASLIADI
ZULFITRI,DEWIANASARI
TEUKU SAHRIAL,sari indah puspita
AYU PUJA NABILA,-
ASBAWI,"ASMALINA, SE"
DRH. FIRDAUS,"CUT DARMAWAN, S.Pd"
MARZUKI,"MILDA YENNI, S.Pd"
"MARWAN, SP",DRA. SITTI AINSYAH
M. JAMAL YUNUS,nnnnn
AGUSTINA,KARDI SUGIARTO (ALM)
"Tgk.. MUHAMMAD YUSUF, S.Ag.,M.Pd",nyak
"HUSNI IBRAHIM, SH.,MH",NANI
"RITA SEPTIANA, A.Md",sapriadi
TGK. NURDIN JOHAN,NUR AINI
BAIHAQI ABDULLAH,ZAIDATULIFFA
"ENDANG WAHYUNI, S.Pd.I",Syafruddin (Alm)
"CUT DESI JAYANTHI ANGGRRYNI, A.Md.RMIK.,S.Tr",-
"RUSLI, S.Sos.I",CUT MASHWIATI
"H. AZHAR, MJ ROMENT",WAHYUNI
BUKHARI,RAHMATUN ULYA
RUSMOULIANI,-
SOFYAN SURI,SURIYANI
EDDI SHADIQIN,-
NURBAHRI,-
FAUZIANNUR,FWI FINIS KURNIAWATI
DRS. ZAKIUN FUADI,YUSNA
"ARIANA BETI ARTI, S.H.I",SAIFUL ANWAR
SYARBINI,HERAWATI
IRAHMANINA,-
"T. IBRAHIM, ST. MM.","HJ. RIDA ARIANI, A.MK"
"MUZAKIR ABDULLAH, SE.",KAMALIA HASAN
"HJ. NURHANIFAH, S.Pd.",MIRZA MAHMUD
"YUDI KURNIA, SE.",DIANA PURMASURI
"ARIF FADILLAH, s.I.KOM. MM.","SUPIYATI, SP"
"Ir.. YUSMAIZAL, M.Si.","SITI AISYAH, SE."
Drs.. SAFWAN YUSUF,"ROSMAWAR, SE."
"LELA KESUMA, ST. MT.",-
KHADIJAH ALFATIKHAH,-
"ABD. MUTHALIB, S.Sos.","NURMALA, ST."
Drs. H. ABDURRAHMAN AHMAD,"CUT DIANA ZAIRIANI, SE"
"Ir. IKHWAN, MM",-
Dra. Hj. MASLAILA,"DR. BUKHARI DAUD, M.Ed"
"EDWAR M. NUR, SE, MM","dr. FITRIA, M.Sc, Sp.KK"
ZULKASMI,NURLAILA
NUR SAFARINA,-
H. AMIRUDDIN USMAN DAROY,Hj. WIRDA
CUT DIRA MIRALDA,-
REKI SAFARI,PUTRI SHANTY
ROSMAINI,SUHARDIN
H. YUSRI HAMZAH,ROSITA YUSUF
"NAZARULLAH, S.Kom","MIA EFRINA, SE"
SYUKRI RAHMAT,MARLINA
TEUKU JULIANSYAH D,CUT EVA SARI
"CUT YENI MUSTIKA, SE",WAHYU ZULFANSYAH
"ANSARI MUHAMMAD, S.Pt, M.Si",Ns.Erlinawati
A. HAEQAL ASRI,CUT MIQYA DERMAWAN
"DEWI HERAFIANA, SE","SYUKRIANTO, S.SOS. M.Si"
AFDHAL KHALILULAH,Desi Maulidar
"AMMAR FUAD, S.E, M.M","AZNITA ZAHARA, S.E"
AGUSNIAR,T.FIRDAUS AKBAR
Z. KARMIDI,SITI RAHMAH
"RABIATUL IQLIMA, S.Psi","Fuadi, SE"
"INDRA PURI NYAK CUT, SE",CUT HUSNA
"ARSLAND BARAWAS, S.Pd.I",-
"LINDA FITRIANA, SE",T. Syaifullah
"SYAMSUL BAHRI, S.Pt",NURMALAWATI
HIDAYATULLAH RAMADHAN,-
SITI ZUHRA,ZYAN NOFRIANDA
KHAIRUL RIZA,NAILUL AUTHARY
"RISMAYANI, SE",JOHNNY ANTONIO AHMADY
TAJUDDIN,HINDUN
"NURUL NAQIA, S.K.M",SULAIMAN
BILAL REKHFA PAHLEVIE,VIDIA PURNAMASARI
"AMRIZAL, S.HI",EKA MISRINA
"BAHARUDDIN, S.SOS",CUT AZIZAH
"DYNA SOFYA, SH",ZUL AZMI
"RUSMADI USMAN, S.Sos",LISMAWATI
ADNAN AMIN,HALIMAH
"SITI MURNI, S.Hi, MH",ABDUL HALIM
"MUNZAHRI, A. Ma",ISNAYATI
NORASYIDAH,MAKHRUZAR. AH
MUNZY PURNAMA,-
"SUZANNA WATI, SE",MUHAMMAD ROYANI
"ERNI OKTARI, S.H",MULYADI
TARMIZI,CUT AULIA MAKHSUM
"TEUKU IRWAN DJOHAN, ST","Cut Novita, ST"
"Ir. H. MUSA BINTANG, MM",Megawati
HJ. DJUSIAH DJAMARAN,H. Ahmad Baryir
"FADHLI ALI, SE","dr. Iik Sumarni, Sp.OG"
"Drs. H.. MARZUKI ABDULLAH, .MM",Zuriani Us
RIVA RISKI,-
"KOMBES POL (Purn). H.M. HARUN HASYIM, SE, MH",Okta Susana
Dra. Hj. KESUMA NIRWANA,Drs. H. Armya Idris
"JAFAR SIDDIK, S.Ag. M.M",CUT REGINA
"ROSNIDARWATI, S.Ag., M.A","ALFIAN, S.T"
MUSTAFA,MAIMUNAH
"MARDALI, SE.Ak",ERNIWATI
ANI MUZIANI,MUNIR AB
"MUSTAQIM, S.Sos",-
MUNAWAR,ERLINA HUSNA
CUT MONA MAYANG SARI,-
MAULIZA,ERFINAWATI
"MUHAMMAD, S.Pd",Khatijah
AMVER SETIA MAYA SARI,-
"MUTIAWANI, SE.Ak",-
KASDIANA,NURMALA
"NOVITA INDRIANI, S.Pd",ayub
DEBBY RAYHANNISA,-
"M PAISAL AK PUTEH, SE",Hj Nurdiani
"SYARIFUDDIN AHMAD LUBIS, A.Md",Marinda
"MARINDA, SE","SYARIFUDIN AHMAD LUBIS, SE"
DESI SAFRIATINUR,-
"SUDIRMAN ALI, SH",-
"DIKY JULIANDI, ST",annisa sri agustina
"SAFRINA, Ners",-
"ARIEF SETIADI, SE",wahyuni
"H. MUSLIM AYUB, S.H., M.M.",Wilda Liana
"MOHD ALFATAH, S.Ag","Siti Khadijah, S. Ag"
"ZAKIYAH DRAZAT, S. Tr. Keb",Firdaus D. Nyak Idin
H. NAZARUDDIN DEK GAM,dr. Hjr. Rina Mayasari
"MARGONINGSIH, SE",-
SULAIMAN ALI,Khuratan Aina
"IRA HADIATI, SH",Ir. Rusli Latief
"H. JUNAIDI, SE","HJ. RITA ZAHARA, S. SOS"
SUMIATI,0
DASLELIATI,Teuku Syarifudin
"H. SAYED FUAD ZAKARIA, SE",ARJUWITA
